Inf_Model,SIM_ID,MAE,P50,P90,P99
Graph Mode,112267,0.207658559,0.169736385,0.395940959,0.684896767
Graph Mode,112268,0.178262249,0.144999236,0.340445578,0.525408089
Graph Mode,112269,0.167513415,0.12491294,0.359095663,0.62379247
Graph Mode,112270,0.159674406,0.107803047,0.35033232,0.587204695
Graph Mode,112271,0.145177126,0.100765601,0.332948923,0.473507524
Graph Mode,112272,0.159073412,0.117218047,0.342799723,0.516192675
Graph Mode,112273,0.16508387,0.119128793,0.360327482,0.598012984
Graph Mode,112274,0.157825977,0.116216928,0.328032672,0.517126977
Graph Mode,112275,0.19166863,0.147684768,0.377056897,0.603691041
Graph Mode,112276,0.18786779,0.167376727,0.312859088,0.540823519
Graph Mode,112277,0.19989422,0.178468704,0.336719334,0.484852642
Graph Mode,112278,0.207778379,0.170335531,0.421841323,0.669385135
Graph Mode,112279,0.182447582,0.148865491,0.35475415,0.585530818
Graph Mode,112280,0.167216599,0.124096848,0.340700448,0.518241525
Graph Mode,112281,0.141807228,0.104281425,0.298427612,0.492595553
Graph Mode,112282,0.142184258,0.103378519,0.311729789,0.50360769
Graph Mode,112283,0.157431602,0.125104964,0.310581982,0.522431493
Graph Mode,112284,0.15652293,0.113698855,0.317630708,0.578731358
Graph Mode,112285,0.183837265,0.13609384,0.397315115,0.599890053
Graph Mode,112286,0.173306748,0.13884981,0.336498559,0.599413097
Graph Mode,112287,0.200725004,0.168394268,0.364094436,0.635510325
Graph Mode,112289,0.197406709,0.161428392,0.376700461,0.718734503
Graph Mode,112290,0.171445087,0.137082845,0.335926026,0.563412488
Graph Mode,112291,0.164828464,0.123932496,0.352830768,0.540070057
Graph Mode,112292,0.155240983,0.118060112,0.338913381,0.5096609
Graph Mode,112293,0.14731434,0.102301233,0.334268183,0.538837194
Graph Mode,112294,0.172420859,0.1240853,0.37755096,0.632281125
Graph Mode,112295,0.175278008,0.131096154,0.364840657,0.602935374
Graph Mode,112296,0.175700963,0.137795597,0.340288132,0.555936873
Graph Mode,112297,0.177051991,0.15679431,0.310230881,0.489130199
Graph Mode,112298,0.193655267,0.164628103,0.34692049,0.553007424
Graph Mode,112299,0.157866642,0.123100758,0.329576492,0.468981802
Graph Mode,112300,0.19333154,0.155351177,0.370421886,0.547024608
Graph Mode,112301,0.168314427,0.12637955,0.34734726,0.561535478
Graph Mode,112302,0.152942389,0.106349185,0.327100217,0.536793351
Graph Mode,112303,0.148608059,0.113343701,0.30435276,0.539413095
Graph Mode,112304,0.143437102,0.107569844,0.317808211,0.506451964
Graph Mode,112305,0.165151522,0.12448211,0.357725263,0.531002581
Graph Mode,112306,0.182610318,0.146516383,0.347711504,0.63570714
Graph Mode,112307,0.165338919,0.138401061,0.312142462,0.490021378
Graph Mode,112308,0.180778861,0.159375817,0.315750897,0.488076985
Graph Mode,112309,0.185754582,0.167735398,0.316693187,0.463006705
Graph Mode,112310,0.149771124,0.110197216,0.323665977,0.487950832
Graph Mode,112311,0.187999517,0.151246503,0.363404274,0.557985365
Graph Mode,112312,0.170186177,0.134200245,0.365767121,0.542421639
Graph Mode,112313,0.165683165,0.11571376,0.349819809,0.605038583
Graph Mode,112314,0.147819176,0.101953164,0.342837811,0.530913115
Graph Mode,112315,0.149537981,0.11282485,0.333288074,0.502863288
Graph Mode,112316,0.143101245,0.11932078,0.29360646,0.429409474
Graph Mode,112317,0.172222584,0.140251413,0.325495899,0.575709224
Graph Mode,112318,0.169605285,0.144254103,0.31999439,0.513432443
Graph Mode,112319,0.192265213,0.171529919,0.331413805,0.522650898
Graph Mode,112320,0.164107859,0.137837529,0.330723286,0.509553432
Graph Mode,112321,0.146094471,0.106817171,0.325095356,0.488704294
Graph Mode,112322,0.192727342,0.152230427,0.399601817,0.578011155
Graph Mode,112323,0.17496407,0.131720185,0.371347964,0.597893655
Graph Mode,112324,0.166623995,0.13006562,0.34951055,0.544722617
Graph Mode,112325,0.153373346,0.105689161,0.3480075,0.574872255
Graph Mode,112326,0.146487832,0.124096185,0.286822706,0.436365843
