Inf_Model,SIM_ID,MAE,P50,P90,P99
Max AutoTune mode,112267,0.243357614,0.182445645,0.484114289,0.889054775
Max AutoTune mode,112268,0.236354142,0.158607647,0.525351107,0.796518743
Max AutoTune mode,112269,0.230148822,0.138028786,0.533457398,0.799209535
Max AutoTune mode,112270,0.18842867,0.10319525,0.452479839,0.652639866
Max AutoTune mode,112271,0.207972199,0.101688787,0.514410377,0.738977075
Max AutoTune mode,112272,0.193706259,0.122233115,0.442790747,0.650997996
Max AutoTune mode,112273,0.194891587,0.123385161,0.432062387,0.650410414
Max AutoTune mode,112274,0.204518825,0.12471579,0.452783108,0.678590178
Max AutoTune mode,112275,0.209471673,0.157571316,0.413393378,0.585627317
Max AutoTune mode,112276,0.224853724,0.185378686,0.412006676,0.694378257
Max AutoTune mode,112277,0.215365201,0.187759072,0.374043465,0.538329482
Max AutoTune mode,112278,0.274420828,0.189710721,0.576558113,0.933975279
Max AutoTune mode,112279,0.24471277,0.159277201,0.55415976,0.869396687
Max AutoTune mode,112280,0.224121794,0.127231732,0.527961254,0.765878201
Max AutoTune mode,112281,0.199268967,0.101995006,0.504524648,0.719081461
Max AutoTune mode,112282,0.202545121,0.103813812,0.504365444,0.680520713
Max AutoTune mode,112283,0.186400771,0.132593036,0.397495598,0.576232076
Max AutoTune mode,112284,0.182785317,0.117419913,0.403901756,0.581847012
Max AutoTune mode,112285,0.188381433,0.147233248,0.372763872,0.511339366
Max AutoTune mode,112286,0.196617037,0.152243093,0.394879967,0.531908631
Max AutoTune mode,112287,0.21581696,0.180690974,0.387783051,0.686757803
Max AutoTune mode,112289,0.251859874,0.17023398,0.550117135,0.828283668
Max AutoTune mode,112290,0.234864801,0.144881845,0.545908332,0.760924876
Max AutoTune mode,112291,0.22024259,0.132539317,0.512401104,0.820354462
Max AutoTune mode,112292,0.215834528,0.12099611,0.508258104,0.868320107
Max AutoTune mode,112293,0.195212677,0.108189419,0.481875211,0.671571374
Max AutoTune mode,112294,0.186457008,0.122100808,0.419999778,0.656521201
Max AutoTune mode,112295,0.210174844,0.135046244,0.463801742,0.63964355
Max AutoTune mode,112296,0.201379329,0.146959394,0.402911246,0.599203825
Max AutoTune mode,112297,0.203895479,0.17049779,0.390166879,0.558673203
Max AutoTune mode,112298,0.204658508,0.174624532,0.356885552,0.606096148
Max AutoTune mode,112299,0.203890592,0.14135401,0.456514895,0.656103253
Max AutoTune mode,112300,0.21443215,0.156799167,0.430513322,0.788865209
Max AutoTune mode,112301,0.240298972,0.137611091,0.564110041,0.744045436
Max AutoTune mode,112302,0.21705544,0.108016111,0.536797047,0.748764098
Max AutoTune mode,112303,0.209772259,0.115594022,0.494568169,0.731320322
Max AutoTune mode,112304,0.181993634,0.115209199,0.419997513,0.5705809
Max AutoTune mode,112305,0.200605154,0.13026008,0.447585642,0.64872241
Max AutoTune mode,112306,0.20103851,0.153085291,0.399159878,0.685540855
Max AutoTune mode,112307,0.193657041,0.146962464,0.400907338,0.580810189
Max AutoTune mode,112308,0.204728246,0.173695549,0.366435707,0.580192685
Max AutoTune mode,112309,0.203847259,0.18159844,0.351597846,0.503061116
Max AutoTune mode,112310,0.211980611,0.130780533,0.491985381,0.758109629
Max AutoTune mode,112311,0.252643466,0.167373955,0.5400666,0.919766903
Max AutoTune mode,112312,0.218966722,0.129982024,0.518306494,0.716096163
Max AutoTune mode,112313,0.215027824,0.117693901,0.495388389,0.803206325
Max AutoTune mode,112314,0.195476145,0.104590222,0.4921,0.67725563
Max AutoTune mode,112315,0.190799028,0.122611329,0.450302184,0.65678668
Max AutoTune mode,112316,0.196413293,0.128044605,0.450002968,0.635799229
Max AutoTune mode,112317,0.196683556,0.146253854,0.39877069,0.662986755
Max AutoTune mode,112318,0.199808687,0.152064636,0.403543949,0.633306146
Max AutoTune mode,112319,0.203775302,0.180295005,0.350436926,0.588539898
Max AutoTune mode,112320,0.195989698,0.153128803,0.410474956,0.625279129
Max AutoTune mode,112321,0.206818074,0.116823584,0.476606488,0.806736231
Max AutoTune mode,112322,0.245911598,0.155209124,0.540363848,0.845572948
Max AutoTune mode,112323,0.237481803,0.141151577,0.544343591,0.772410095
Max AutoTune mode,112324,0.198354051,0.130459249,0.442028731,0.748486876
Max AutoTune mode,112325,0.195553809,0.103812784,0.482686996,0.783982933
Max AutoTune mode,112326,0.200594634,0.128882408,0.457549155,0.747729719
Max AutoTune mode,112327,0.201095417,0.125890046,0.441854954,0.662337899
Max AutoTune mode,112328,0.195454031,0.15342547,0.404028147,0.619753599
Max AutoTune mode,112329,0.198703691,0.171354443,0.371520996,0.590687871
Max AutoTune mode,112330,0.196759909,0.164605737,0.380537599,0.664435983
Max AutoTune mode,112331,0.200118631,0.139520317,0.439544767,0.62003231
Max AutoTune mode,112332,0.208653241,0.140866846,0.467997313,0.691244483
Max AutoTune mode,112333,0.222122848,0.151647374,0.467128038,0.720188856
Max AutoTune mode,112334,0.229732156,0.133267641,0.529468417,0.835331678
Max AutoTune mode,112335,0.194658428,0.126372278,0.448356777,0.676846147
Max AutoTune mode,112336,0.194098398,0.121386409,0.45055759,0.685088694
Max AutoTune mode,112337,0.196469367,0.120331198,0.474724948,0.644524574
Max AutoTune mode,112338,0.189051479,0.129348055,0.416876972,0.58075875
Max AutoTune mode,112339,0.200774997,0.161027327,0.40601629,0.658500552
Max AutoTune mode,112340,0.193677396,0.16643849,0.377071738,0.528636098
Max AutoTune mode,112341,0.190831274,0.157548651,0.372760892,0.612350464
Max AutoTune mode,112342,0.217277676,0.141468912,0.509192824,0.695833862
Max AutoTune mode,112343,0.196556658,0.142910436,0.419437021,0.641953707
Max AutoTune mode,112344,0.226628676,0.143224433,0.50188297,0.712857664
Max AutoTune mode,112345,0.227866217,0.139639005,0.501722038,0.894724786
