Inf_Model,SIM_ID,MAE,P50,P90,P99
TensorRT FP32,112267,0.187736273,0.163050458,0.304635763,0.73302716
TensorRT FP32,112268,0.159301892,0.139698297,0.276233435,0.534583092
TensorRT FP32,112269,0.152014673,0.116763122,0.288401961,0.63899529
TensorRT FP32,112270,0.13595964,0.098529071,0.300981998,0.474454075
TensorRT FP32,112271,0.124259219,0.081014484,0.301372886,0.446488768
TensorRT FP32,112272,0.123942696,0.103726715,0.231924027,0.416772157
TensorRT FP32,112273,0.134768188,0.110978141,0.260484159,0.401292026
TensorRT FP32,112274,0.127186567,0.101320133,0.250529617,0.380117565
TensorRT FP32,112275,0.148088649,0.129340857,0.261249661,0.403846383
TensorRT FP32,112276,0.159326762,0.152907819,0.239947617,0.351784408
TensorRT FP32,112277,0.167579085,0.156988114,0.255992532,0.396242768
TensorRT FP32,112278,0.185339034,0.160366952,0.314241707,0.677869797
TensorRT FP32,112279,0.166433245,0.140091479,0.305955291,0.559797764
TensorRT FP32,112280,0.14398168,0.113534287,0.285201341,0.458905786
TensorRT FP32,112281,0.132796496,0.093083717,0.302327871,0.446886837
TensorRT FP32,112282,0.128674775,0.092689738,0.29124999,0.446265161
TensorRT FP32,112283,0.131011218,0.113861769,0.242872596,0.355471581
TensorRT FP32,112284,0.12637189,0.103536934,0.236413568,0.368002117
TensorRT FP32,112285,0.136089146,0.12218602,0.232429355,0.35168618
TensorRT FP32,112286,0.135382324,0.121188134,0.219575495,0.340925694
TensorRT FP32,112287,0.159380406,0.153811917,0.239442915,0.344239026
TensorRT FP32,112289,0.174238086,0.155608177,0.317319274,0.503270388
TensorRT FP32,112290,0.150987983,0.129432708,0.296815217,0.456942439
TensorRT FP32,112291,0.145800918,0.116219655,0.279841602,0.588608265
TensorRT FP32,112292,0.132307127,0.103934616,0.284863412,0.444698274
TensorRT FP32,112293,0.1213267,0.088424683,0.265626669,0.442192435
TensorRT FP32,112294,0.125965163,0.106970489,0.231794626,0.391686529
TensorRT FP32,112295,0.128201723,0.109649807,0.233528018,0.358299077
TensorRT FP32,112296,0.145790815,0.127498388,0.245795906,0.392289281
TensorRT FP32,112297,0.144357711,0.138060927,0.225613475,0.352358669
TensorRT FP32,112298,0.154582888,0.149272367,0.240509927,0.338054031
TensorRT FP32,112299,0.135727093,0.113394402,0.277498007,0.408666134
TensorRT FP32,112300,0.17358458,0.147809178,0.296830833,0.556222975
TensorRT FP32,112301,0.155212164,0.123740189,0.312716812,0.571400225
TensorRT FP32,112302,0.136773646,0.097811937,0.302515805,0.524735212
TensorRT FP32,112303,0.133555815,0.104212791,0.281449288,0.468186259
TensorRT FP32,112304,0.115788773,0.09960787,0.223053187,0.332982838
TensorRT FP32,112305,0.129029378,0.110277407,0.24242577,0.369387209
TensorRT FP32,112306,0.141751558,0.135963261,0.220143735,0.33059153
TensorRT FP32,112307,0.132927626,0.124403067,0.216965646,0.308736593
TensorRT FP32,112308,0.148875177,0.14476642,0.227599472,0.323278666
TensorRT FP32,112309,0.15588963,0.148429275,0.239486068,0.346265078
TensorRT FP32,112310,0.135266364,0.108601302,0.295807362,0.423902482
TensorRT FP32,112311,0.168586403,0.144020021,0.308517665,0.509724379
TensorRT FP32,112312,0.153682649,0.122586846,0.318333924,0.551424325
TensorRT FP32,112313,0.137810051,0.104912572,0.286547691,0.530106962
TensorRT FP32,112314,0.120231092,0.090916976,0.261124164,0.388539165
TensorRT FP32,112315,0.119544506,0.100785926,0.233581036,0.378206909
TensorRT FP32,112316,0.123838648,0.103732236,0.249978602,0.35537374
TensorRT FP32,112317,0.139106214,0.126353309,0.2292853,0.339900017
TensorRT FP32,112318,0.137602806,0.128691733,0.212783962,0.375812829
TensorRT FP32,112319,0.151098594,0.150751263,0.225703865,0.305072904
TensorRT FP32,112320,0.133762151,0.122559741,0.235813707,0.351791233
TensorRT FP32,112321,0.132965773,0.102406964,0.299625337,0.436651796
TensorRT FP32,112322,0.180187494,0.144085392,0.342577338,0.667309403
TensorRT FP32,112323,0.156502187,0.121164314,0.314433664,0.56817311
TensorRT FP32,112324,0.139879167,0.118074067,0.260856628,0.43539381
TensorRT FP32,112325,0.124820173,0.093040958,0.273625553,0.429509461
TensorRT FP32,112326,0.122393996,0.111027278,0.219914526,0.322556615
TensorRT FP32,112327,0.124271378,0.101426125,0.250924736,0.384281158
TensorRT FP32,112328,0.135514408,0.125303507,0.226060525,0.351476103
TensorRT FP32,112329,0.140357673,0.138553306,0.213533252,0.300410926
TensorRT FP32,112330,0.137737274,0.135226682,0.216792256,0.288147837
TensorRT FP32,112331,0.125877902,0.109663948,0.23977989,0.362147719
TensorRT FP32,112332,0.145064458,0.117838494,0.297055423,0.407478273
TensorRT FP32,112333,0.163356602,0.134427428,0.322918832,0.510269344
TensorRT FP32,112334,0.146113575,0.117512204,0.302110672,0.463888258
TensorRT FP32,112335,0.145803198,0.11146988,0.295889139,0.577683687
TensorRT FP32,112336,0.129000679,0.106339276,0.260506451,0.406674594
