Inf_Model,SIM_ID,MAE,P50,P90,P99,Latency_ms
TensorRT TF32,112267,0.245199949,0.17006588,0.551775694,0.93912518,16.0538559
TensorRT TF32,112268,0.230040997,0.149108469,0.562384248,0.821288228,15.44554291
TensorRT TF32,112269,0.227025896,0.13632825,0.606955171,0.929422617,15.51215973
TensorRT TF32,112270,0.207809404,0.113448828,0.570859551,0.886854649,15.51509705
TensorRT TF32,112271,0.206016421,0.111778155,0.566102862,0.897147298,15.52599335
TensorRT TF32,112272,0.235252559,0.129235253,0.674592376,1.018171072,15.54311371
TensorRT TF32,112273,0.244489551,0.130837724,0.672721028,0.969969869,15.52568665
TensorRT TF32,112274,0.218089789,0.126248747,0.567532539,0.884821355,15.64416046
TensorRT TF32,112275,0.264786601,0.164584383,0.661065221,0.912091374,15.57714233
TensorRT TF32,112276,0.249488473,0.179927409,0.559572339,0.83802712,15.59819183
TensorRT TF32,112277,0.257269859,0.186706334,0.559403419,0.802641273,15.53361206
TensorRT TF32,112278,0.255419433,0.175007939,0.60979408,0.974153221,15.6489502
TensorRT TF32,112279,0.242476106,0.153385967,0.650105476,0.998535395,15.51364441
TensorRT TF32,112280,0.225150168,0.13086091,0.586318612,0.911038935,15.52018585
TensorRT TF32,112281,0.180371538,0.108128294,0.456846863,0.765005529,15.57898254
TensorRT TF32,112282,0.205717504,0.114546001,0.555899739,0.848919868,15.54936371
TensorRT TF32,112283,0.217717037,0.136923283,0.583554626,0.80641067,15.51765747
TensorRT TF32,112284,0.239238352,0.128251523,0.657109261,0.977495492,15.53297882
TensorRT TF32,112285,0.254591554,0.150213718,0.678545237,0.914447606,15.52566071
TensorRT TF32,112286,0.235913873,0.155810684,0.577781498,0.845457673,15.52984009
TensorRT TF32,112287,0.279844761,0.191895545,0.652301669,0.944188476,15.53924866
TensorRT TF32,112289,0.246042088,0.16803138,0.584979713,0.998936296,15.59950104
TensorRT TF32,112290,0.224971354,0.147764891,0.556126952,0.933520436,15.52755127
TensorRT TF32,112291,0.223275512,0.130643368,0.603258789,1.019990921,15.52236786
TensorRT TF32,112292,0.215785548,0.123667933,0.613215089,0.899169803,15.5208313
TensorRT TF32,112293,0.210002407,0.119115785,0.569938779,0.921973288,15.55590973
TensorRT TF32,112294,0.242673427,0.133209407,0.651325941,1.010294914,15.54659882
TensorRT TF32,112295,0.238532335,0.140994966,0.623217404,0.929004312,15.54136658
TensorRT TF32,112296,0.226613492,0.142147854,0.565358043,0.808403671,15.52085419
TensorRT TF32,112297,0.235202998,0.165615529,0.550457001,0.768999219,15.56138611
TensorRT TF32,112298,0.272377849,0.177918032,0.669104338,0.929848433,15.6044281
TensorRT TF32,112299,0.214798838,0.129334286,0.545126319,0.883502603,15.5926651
TensorRT TF32,112300,0.269059837,0.159940153,0.719228506,1.056968689,15.57661133
TensorRT TF32,112301,0.229838967,0.137773514,0.602674186,0.912471592,15.53564148
TensorRT TF32,112302,0.207001403,0.114889093,0.574034929,0.935043871,15.51741791
TensorRT TF32,112303,0.222923666,0.124028705,0.609540224,0.941062093,15.51960602
TensorRT TF32,112304,0.222603589,0.118504286,0.637179255,0.890403509,15.59024963
TensorRT TF32,112305,0.229440093,0.134423554,0.618615031,0.875925422,15.52102356
TensorRT TF32,112306,0.247904882,0.161344618,0.632646918,0.930640221,15.54227448
TensorRT TF32,112307,0.243786171,0.15606162,0.603194237,0.886468351,15.53954315
TensorRT TF32,112308,0.242647871,0.171048805,0.561368644,0.934986949,15.5975296
TensorRT TF32,112309,0.247820333,0.175917715,0.58343327,0.833763957,15.5842041
TensorRT TF32,112310,0.210522324,0.12558037,0.556757689,0.828899682,15.58496246
TensorRT TF32,112311,0.23364237,0.154501855,0.566392422,0.944690287,15.55455933
TensorRT TF32,112312,0.213858455,0.138161927,0.551824927,0.89268589,15.55886993
TensorRT TF32,112313,0.219507635,0.12154451,0.590409338,1.004156113,15.59240265
TensorRT TF32,112314,0.215255007,0.111171223,0.616359234,1.009781003,15.52228546
TensorRT TF32,112315,0.227755263,0.128545642,0.657880783,0.922239244,15.5088028
TensorRT TF32,112316,0.202103361,0.127207056,0.537545145,0.78151685,15.53838348
TensorRT TF32,112317,0.248358741,0.158109665,0.616054416,0.914292336,15.58589172
TensorRT TF32,112318,0.223893285,0.145648733,0.578221917,0.848398209,15.57743988
TensorRT TF32,112319,0.238775924,0.173716068,0.552681684,0.849704742,15.60018616
TensorRT TF32,112320,0.230319127,0.148298949,0.605731428,0.865211189,15.5188858
TensorRT TF32,112321,0.186946675,0.109225422,0.465739459,0.702605307,15.59204102
TensorRT TF32,112322,0.233216912,0.157006934,0.559865296,0.910017729,15.60012512
TensorRT TF32,112323,0.22431469,0.138156295,0.583773375,0.85555768,15.51770172
TensorRT TF32,112324,0.22391063,0.141173005,0.609933257,0.890277326,15.53921967
TensorRT TF32,112325,0.225121349,0.118725628,0.65038085,0.999099255,15.55065002
TensorRT TF32,112326,0.207248315,0.130501628,0.549203277,0.786017478,15.62258911
TensorRT TF32,112327,0.220218793,0.129560441,0.60189718,0.934069335,15.63880005
TensorRT TF32,112328,0.244905829,0.15631856,0.629905462,1.008116364,15.53431396
TensorRT TF32,112329,0.23531127,0.163927764,0.568737149,0.797394216,15.57557373
TensorRT TF32,112330,0.22525911,0.162845939,0.531038523,0.780890167,15.54424286
TensorRT TF32,112331,0.190292045,0.128443539,0.460813582,0.719857872,15.54118347
TensorRT TF32,112332,0.213952467,0.137571156,0.550165772,0.768286526,15.58054657
TensorRT TF32,112333,0.233513698,0.149910137,0.595238686,0.920778513,15.57411804
TensorRT TF32,112334,0.215929374,0.136981905,0.535530686,0.87983191,15.61345673
TensorRT TF32,112335,0.222767681,0.126966178,0.618003964,0.907048583,15.65247345
TensorRT TF32,112336,0.222355306,0.128572494,0.610846639,0.93210268,15.65799103
TensorRT TF32,112337,0.208951324,0.123476058,0.573408961,0.839571476,15.55252533
TensorRT TF32,112338,0.222651094,0.132562906,0.611357749,0.933362365,15.56367035
TensorRT TF32,112339,0.251548529,0.162273929,0.663419485,0.906397581,15.57799988
TensorRT TF32,112340,0.26469782,0.178135127,0.662193239,0.945314109,15.59711304
TensorRT TF32,112341,0.223218709,0.148287594,0.549507797,0.830312014,15.59752045
TensorRT TF32,112342,0.203944266,0.128326535,0.510604262,0.761566043,15.51543427
TensorRT TF32,112343,0.229712814,0.140229523,0.591834247,0.87253356,15.58424683
TensorRT TF32,112344,0.232749701,0.148887366,0.586233616,1.0328058,15.51713257
TensorRT TF32,112345,0.232751966,0.143148124,0.622008502,0.933498144,15.59022064
TensorRT TF32,112346,0.215964004,0.134182304,0.541430235,0.958433151,15.51835175
TensorRT TF32,112347,0.228374839,0.133076549,0.631615996,0.931736648,15.50905914
TensorRT TF32,112348,0.196255654,0.116103351,0.508304954,0.827034235,15.516185
TensorRT TF32,112349,0.230091989,0.140184432,0.628329992,0.972728431,15.51091461
TensorRT TF32,112350,0.252025038,0.166829661,0.627488017,0.967209697,15.62827148
TensorRT TF32,112351,0.270117104,0.177435845,0.687062502,1.021297812,15.51867523
TensorRT TF32,112352,0.253648102,0.15786314,0.66202414,0.926333189,15.52088318
TensorRT TF32,112353,0.189645305,0.124014758,0.432578087,0.770909965,15.58754272
TensorRT TF32,112354,0.203190416,0.13622281,0.47169289,0.771519721,15.62243805
TensorRT TF32,112355,0.227570966,0.146410197,0.57930398,0.937194824,15.53869476
TensorRT TF32,112356,0.220315233,0.129588425,0.579646587,1.163020134,15.58886414
TensorRT TF32,112357,0.214378923,0.139442742,0.578923106,0.837634981,15.59110107
TensorRT TF32,112358,0.208474815,0.132923126,0.553891778,0.85716933,15.59666595
TensorRT TF32,112359,0.198696271,0.118379578,0.54251045,0.95874244,15.58809967
TensorRT TF32,112360,0.217662543,0.139157847,0.593596518,0.841026425,15.58919067
TensorRT TF32,112361,0.269979,0.1827811,0.673516273,0.940972805,15.58916473
TensorRT TF32,112362,0.238920808,0.167312026,0.58907789,0.850816011,15.58814087
TensorRT TF32,112363,0.20878002,0.12482585,0.556924343,0.838825285,15.54380493
TensorRT TF32,112364,0.199812293,0.122969143,0.488317549,0.709408939,15.59219513
TensorRT TF32,112365,0.223687649,0.148958862,0.526006341,0.777993858,15.58594818
TensorRT TF32,112366,0.247157991,0.182749167,0.523232818,0.818252563,15.58859863
TensorRT TF32,112367,0.204672918,0.150273442,0.421682835,0.724209607,15.52276764
TensorRT TF32,112368,0.198408604,0.135720745,0.464275986,0.707945466,15.51009979
TensorRT TF32,112369,0.197811797,0.113717228,0.507219613,0.903018534,15.58643799
TensorRT TF32,112370,0.201507241,0.103159577,0.535811305,0.793460429,15.54021149
TensorRT TF32,112371,0.213931143,0.11569275,0.584469318,0.8626104,15.57911987
TensorRT TF32,112372,0.214967757,0.122351646,0.54817462,0.870839298,15.57081604
TensorRT TF32,112373,0.212840855,0.116997182,0.551726103,0.848199904,15.57246399
TensorRT TF32,112374,0.226862341,0.133378074,0.625547528,0.887875676,15.51944275
TensorRT TF32,112375,0.268407226,0.167057827,0.633684278,0.989904583,15.54709167
TensorRT TF32,112376,0.27074796,0.180194229,0.652112067,0.934961498,15.57158661
TensorRT TF32,112377,0.224583969,0.170694381,0.446087211,0.744377017,15.51414337
TensorRT TF32,112378,0.190360695,0.140818149,0.405043244,0.63804239,15.51401978
TensorRT TF32,112379,0.200864494,0.136419922,0.436755806,0.833369851,15.59398651
TensorRT TF32,112380,0.181435317,0.115274191,0.439674795,0.674759746,15.58622742
TensorRT TF32,112381,0.180693477,0.110696867,0.461931229,0.697517991,15.58718109
TensorRT TF32,112382,0.203253791,0.128634736,0.509915948,0.749370098,15.55395813
TensorRT TF32,112383,0.20337902,0.123326525,0.503636062,0.808234811,15.59853516
TensorRT TF32,112385,0.225130379,0.133834451,0.584129632,0.871053159,15.60527039
TensorRT TF32,112386,0.25301972,0.172253519,0.587872982,0.935591102,15.59105225
TensorRT TF32,112387,0.274363071,0.177905113,0.68457365,0.976574838,15.59304962
TensorRT TF32,112388,0.222669348,0.169082701,0.475535929,0.746185422,15.59109192
TensorRT TF32,112389,0.195451334,0.142404169,0.41854772,0.663082063,15.58557129
TensorRT TF32,112390,0.194075137,0.133440614,0.457269847,0.668205261,15.59072266
TensorRT TF32,112391,0.20510754,0.11084608,0.576416135,0.868406475,15.58484497
TensorRT TF32,112392,0.194855794,0.110162154,0.515644014,0.792713761,15.59268799
TensorRT TF32,112393,0.209568799,0.127668396,0.529203355,0.919902265,15.58310089
TensorRT TF32,112394,0.18105486,0.118631408,0.41525203,0.715818942,15.5835907
TensorRT TF32,112395,0.237008303,0.135162145,0.650119245,0.916548789,15.59295349
TensorRT TF32,112396,0.235057011,0.145661861,0.59983176,0.914849877,15.59030151
TensorRT TF32,112397,0.262041092,0.177894264,0.610819936,0.955877423,15.59338531
TensorRT TF32,112398,0.229364648,0.145781279,0.576850176,0.808033407,15.51518707
TensorRT TF32,112399,0.223585263,0.165695846,0.469624281,0.717154443,15.59055328
TensorRT TF32,112400,0.196664721,0.146215469,0.415502131,0.698613822,15.58544617
TensorRT TF32,112401,0.174968094,0.126479074,0.373411298,0.599451125,15.5407074
TensorRT TF32,112402,0.185305536,0.125458792,0.41804111,0.697296917,15.59078369
TensorRT TF32,112403,0.198114336,0.112555683,0.546221137,0.885180235,15.58649597
TensorRT TF32,112404,0.194778621,0.112798184,0.519970775,0.807619989,15.58358459
TensorRT TF32,112405,0.230924591,0.140667856,0.599269032,0.865753472,15.5999588
TensorRT TF32,112406,0.22418347,0.131188869,0.623709857,0.924024463,15.56657867
TensorRT TF32,112407,0.238067597,0.156572729,0.585668087,0.856140018,15.56786194
TensorRT TF32,112408,0.25834161,0.186552107,0.577039897,0.807399929,15.52281342
TensorRT TF32,112409,0.226314083,0.130444944,0.583146214,0.853729844,15.52406464
