sweep,size,N,tile_t,half_w,ms_mean,ms_std,recall
tile_t,4k,4096,16,1024,1.9089760104815165,0.2411287011278342,0.9719390869140625
tile_t,4k,4096,32,1024,1.3197653571764627,0.2753733463107049,0.9719390869140625
tile_t,4k,4096,64,1024,1.7899861733118694,0.3407522549399101,0.9719390869140625
tile_t,4k,4096,128,1024,1.6861525456110635,0.2981648765871168,0.9719390869140625
tile_t,4k,4096,256,1024,1.61228799422582,0.3148921763102245,0.9719390869140625
tile_t,4k,4096,512,1024,1.1621717492739359,0.09498086922497263,0.9719390869140625
tile_t,4k,4096,1024,1024,0.9200981477896373,0.09273171914827003,0.9719390869140625
half_w,4k,4096,32,8,1.841322656472524,0.570760369566931,0.5041046142578125
half_w,4k,4096,32,16,0.9192106604576111,0.11826395744720808,0.6358489990234375
half_w,4k,4096,32,32,0.9119744042555491,0.12743431032455907,0.7425384521484375
half_w,4k,4096,32,64,1.1176277299722035,0.35517825259010966,0.8219757080078125
half_w,4k,4096,32,128,1.1058176020781199,0.3648039036190294,0.8878936767578125
half_w,4k,4096,32,256,1.0862250626087189,0.3411102311762433,0.9254608154296875
half_w,4k,4096,32,512,0.9190058648586273,0.13288070325916282,0.947845458984375
half_w,4k,4096,32,1024,1.2464469830195108,0.10072230500926133,0.9719390869140625
half_w,4k,4096,32,2048,2.2000299374262493,0.16527016422174745,0.994293212890625
tile_t,16k,16000,16,1024,5.371426010131836,0.08442012041268401,0.9623945951461792
tile_t,16k,16000,32,1024,3.0153386195500693,0.08963138357330921,0.9623945951461792
tile_t,16k,16000,64,1024,4.36131846110026,0.09069968345026445,0.9623945951461792
tile_t,16k,16000,128,1024,4.202734963099162,0.09530566530716394,0.9623945951461792
tile_t,16k,16000,256,1024,3.9144789218902587,0.08998831391573446,0.9623945951461792
tile_t,16k,16000,512,1024,2.896247458457947,0.0904446130561862,0.9623945951461792
tile_t,16k,16000,1024,1024,2.194058632850647,0.09464738391912017,0.9623945951461792
half_w,16k,16000,32,8,0.9074687997500102,0.02690177066902049,0.49479299783706665
half_w,16k,16000,32,16,0.9137493292490642,0.02652266536529551,0.6369492411613464
half_w,16k,16000,32,32,0.9100629309813182,0.0281591123539886,0.7504258155822754
half_w,16k,16000,32,64,0.9067861318588257,0.034278810678940626,0.8147187829017639
half_w,16k,16000,32,128,0.9174698611100515,0.06369751414161474,0.8677812814712524
half_w,16k,16000,32,256,1.0537973642349243,0.08894317270604583,0.910214900970459
half_w,16k,16000,32,512,1.7085439999898275,0.09641541609785935,0.9439765810966492
half_w,16k,16000,32,1024,3.0159188747406005,0.10325333944508944,0.9623945951461792
half_w,16k,16000,32,2048,5.667496538162231,0.08961122429706114,0.9738242626190186
tile_t,32k,32000,16,1024,9.056153519948323,0.09556584658886642,0.9574024081230164
tile_t,32k,32000,32,1024,5.503010034561157,0.08686325626261247,0.9574024081230164
tile_t,32k,32000,64,1024,8.088951555887858,0.08638861131144675,0.9574024081230164
tile_t,32k,32000,128,1024,7.816226005554199,0.09670548143200296,0.9574024081230164
tile_t,32k,32000,256,1024,7.27009285291036,0.08612770851580445,0.9574024081230164
tile_t,32k,32000,512,1024,5.3249365329742435,0.08585181643278464,0.9574024081230164
tile_t,32k,32000,1024,1024,3.9618218739827475,0.08549590313328423,0.9574024081230164
half_w,32k,32000,32,8,0.9063082695007324,0.031960389809980776,0.49287500977516174
half_w,32k,32000,32,16,0.9460053364435832,0.027020359754685808,0.6437754034996033
half_w,32k,32000,32,32,0.9172991931438446,0.04186078932517995,0.7436992526054382
half_w,32k,32000,32,64,0.9140223979949951,0.07349202023262107,0.8170469403266907
half_w,32k,32000,32,128,1.1152042826016744,0.09398586892373399,0.8632539510726929
half_w,32k,32000,32,256,1.7410048246383667,0.0856450291800057,0.9033008217811584
half_w,32k,32000,32,512,2.996050175031026,0.08859907162193134,0.9329062700271606
half_w,32k,32000,32,1024,5.5026346206665036,0.08671616210780998,0.9574024081230164
half_w,32k,32000,32,2048,10.514909807840983,0.08560802992845706,0.9709922075271606
tile_t,64k,64000,16,1024,17.431483777364097,0.0887982061073609,0.9521055221557617
tile_t,64k,64000,32,1024,10.452104536692302,0.08063821454831688,0.9521055221557617
tile_t,64k,64000,64,1024,15.494280401865641,0.07967470592421064,0.9521055221557617
tile_t,64k,64000,128,1024,14.991325823465983,0.07912454837504397,0.9521055221557617
tile_t,64k,64000,256,1024,13.938756243387859,0.0881907366569364,0.9521055221557617
tile_t,64k,64000,512,1024,10.153506310780843,0.07861797271958282,0.9521055221557617
tile_t,64k,64000,1024,1024,7.481958373387655,0.09408302481630154,0.9521055221557617
half_w,64k,64000,32,8,0.9183573305606842,0.061374680808113175,0.4964179992675781
half_w,64k,64000,32,16,0.9196885307629903,0.06633320587806936,0.6369160413742065
half_w,64k,64000,32,32,0.9687722603480021,0.08064640613333682,0.7462529540061951
half_w,64k,64000,32,64,1.27668905655543,0.09154060217405945,0.8164424300193787
half_w,64k,64000,32,128,1.8863103667894998,0.07678393659461641,0.8676533699035645
half_w,64k,64000,32,256,3.110911989212036,0.0773692648716709,0.9007148742675781
half_w,64k,64000,32,512,5.558476750055949,0.07694250771614534,0.9305391311645508
half_w,64k,64000,32,1024,10.452411683400472,0.07748157307657622,0.9521055221557617
half_w,64k,64000,32,2048,20.371012115478514,0.07184350440573609,0.9693779945373535
